feedback_id,passenger_id,flight_id,rating_overall,nps_score,rating_crew,rating_food,rating_seat,rating_ground,submission_date,delay_minutes,is_purple_cow
4db72441-7855-407b-adf8-cdde0ec5daf5,f7d32c62-6cf4-4de0-a7d5-976f4ef8940b,FL-1000,3,5,5,4,5,3,2024-11-18,0,0
9d4de402-1eeb-4bc3-bbcb-b2f04388afb4,270b1ba0-4b03-47c0-9dc5-74f3e9525df1,FL-1000,4,9,5,4,5,5,2024-11-21,0,1
3c237e13-a301-4cd9-81e0-b8af6097fd60,c5247f55-ad28-4f84-a0c1-2bd4db3e1a9d,FL-1000,4,8,5,5,3,2,2024-11-20,0,1
8aaffdf7-c9d4-483a-9b31-4c2bdb03f5a9,b70426ad-caa9-41d9-9cc6-090dcfa495c5,FL-1000,4,6,5,5,3,3,2024-11-20,0,1
bc0012fa-296a-4c78-b1ed-35d8d19a406e,f015cc8d-950d-493e-8f97-da26a73add67,FL-1000,4,8,4,4,4,4,2024-11-21,0,1
419bd79e-c04e-47ef-a30f-a3640d6b18fa,19cb1d8d-f0cf-4be2-9702-cfe44cea014b,FL-1000,5,10,5,4,2,3,2024-11-17,0,1
ed047e66-b492-451d-851e-a43ce3cf7ed8,2d950055-d412-41a5-b82b-c9157bbbf76c,FL-1000,3,7,5,4,3,4,2024-11-19,0,0
695ad40c-d595-4875-9ead-35126d8c5bc1,c98e8980-bd34-4e71-ae6a-7876b77b088b,FL-1000,5,8,4,4,3,2,2024-11-20,0,1
1d3a5d11-19ba-4cee-815b-5c8a89705dc7,bf170c4b-267e-4505-92e3-09de1388ca95,FL-1001,3,5,4,5,4,4,2024-12-22,0,0
34df5bd3-f8e3-4d4a-a9c6-b7609d57697c,c1c6d772-7038-4caf-9050-c40d3af572f2,FL-1001,4,10,5,5,5,5,2024-12-25,0,1
a210df85-ab8a-4b09-8367-751c9101b3b1,67939f0c-8bff-466a-b6d4-a920e0d70754,FL-1001,4,6,4,5,5,3,2024-12-24,0,1
510af895-097a-47bb-8b3c-9a38dfa7528a,8e84f98a-b46a-4be2-8d45-e67ab4956c1e,FL-1001,4,7,4,2,5,2,2024-12-26,0,1
8329b47d-c433-4f4f-ac2c-02c6fe2701ff,9ba67064-0863-48a7-ac5d-6ceab1124bb2,FL-1001,4,8,4,3,4,4,2024-12-23,0,1
